title,author,theme_name
Homecoming,Ngũgĩ wa Thiong'o,Post-independence struggles
Homecoming,Ngũgĩ wa Thiong'o,Power of language
Homecoming,Ngũgĩ wa Thiong'o,Conflict in families
Black Star Nairobi,Mũkoma wa Ngũgĩ,Wealth and materialism
Black Star Nairobi,Mũkoma wa Ngũgĩ,Bad governance
Black Star Nairobi,Mũkoma wa Ngũgĩ,Greed
Dreams from My Father,Barack Obama,Dreams and ambitions
Dreams from My Father,Barack Obama,Youth and unemployment
Dreams from My Father,Barack Obama,Parent-child relationships
Spartacus: The Gladiator,Ben Kane,Folklore and oral traditions
Spartacus: The Gladiator,Ben Kane,Naming and symbolism
Spartacus: The Gladiator,Ben Kane,Justice and injustice
The Trial of Dedan Kimathi,Micere Githae Mugo,Justice and injustice
The Trial of Dedan Kimathi,Micere Githae Mugo,Trauma and healing
The Trial of Dedan Kimathi,Micere Githae Mugo,Oppression
Wasiya ya Mabanati,Ustadh Mau,Gender roles and feminism
Wasiya ya Mabanati,Ustadh Mau,Bad governance
Wasiya ya Mabanati,Ustadh Mau,Urban vs rural life
Speaks,Ngũgĩ wa Thiong'o,Wealth and materialism
Speaks,Ngũgĩ wa Thiong'o,Bad governance
Speaks,Ngũgĩ wa Thiong'o,Education and opportunity
Land Without Thunder,Grace Emily Akinyi Ogot,Wealth and materialism
Land Without Thunder,Grace Emily Akinyi Ogot,Indigenous knowledge
Land Without Thunder,Grace Emily Akinyi Ogot,Generosity
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Wealth and materialism
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Greed
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Environmental conservation
Migritude,Shailja Patel,Bad governance
Migritude,Shailja Patel,Hard work
Migritude,Shailja Patel,Religion and spirituality
Wizard of the Crow,Ngũgĩ wa Thiong'o,Power of language
Wizard of the Crow,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Wizard of the Crow,Ngũgĩ wa Thiong'o,Indigenous knowledge
Going Down River Road,Meja Mwangi,Urbanization
Going Down River Road,Meja Mwangi,Urban vs rural life
Going Down River Road,Meja Mwangi,Bad governance
The Dragonfly Sea,Yvonne Adhiambo Owuor,Urban vs rural life
The Dragonfly Sea,Yvonne Adhiambo Owuor,Oppression
The Dragonfly Sea,Yvonne Adhiambo Owuor,Gender roles and feminism
