title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i
Homecoming,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2023-10-01T00:00:00Z,,http://books.google.com/books/content?id=CHroEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"In this collection of essays on African and Caribbean literature, culture, and politics, Ngugi wa Thiong'o delivers a groundbreaking critique of colonialism and capitalism in postcolonial Africa. In these essays, Ngugi wa Thiong'o eloquently interweaves a range of issues including religious oppression, consumerism, and independence with the powerful intellect and passion that has come to characterise his writing. These pieces are essential for readers wishing to uncover a critical perspective on African society and culture. Homecoming is a groundbreaking collection intended to provoke and encourage thoughtful debate on how best to 'restore the creative glory of Africa and of all Africans' in the wake of postcolonialism. 'One of the greatest writers of our time.' Chimamanda Ngozi Adichie 'A tremendous writer... It's hard to doubt the power of the written word when you hear the story of Ngugi wa Thiong'o.' Guardian 'One of Africa's greatest writers.' New York Times",,homecoming | ngugi wa thiong o,
Black Star Nairobi,Mũkoma wa Ngũgĩ,,,,English,2013-01-01T00:00:00Z,,http://books.google.com/books/content?id=NBHK8By_mZ8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Two cops—one American, one Kenyan—team up to track down a deadly terrorist. It’s December 2007. The Kenyan presidential elections have gotten off to a troubled start, with threats of ethnic violence in the air, and the reports about Barack Obama on the campaign trail in the United States are the subject of newspaper editorials and barstool debates. And Ishmael and O have just gotten their first big break for their new detective agency, Black Star. A mysterious death they’re investigating appears to be linked to the recent bombing of a downtown Nairobi hotel. But local forces start to come down on them to back off the case, and then a startling act of violence tips the scales, setting them off on a round-the-globe pursuit of the shadowy forces behind it all. A thrilling, hard-hitting novel, from the author of Nairobi Heat, a major new crime talent.",,black star nairobi | mukoma wa ngugi,
Dreams from My Father,Barack Obama,,,,English,1995-07-18T00:00:00Z,OL3246385W,http://books.google.com/books/content?id=yya9IL4Y-zcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"The son of a black African father and a white American mother, Obama was only two years old when his father walked out on the family. Many years later, Obama receives a phone call from Nairobi: his father is dead. This sudden news inspires an emotional odyssey for Obama, determined to learn the truth of his father's life and reconcile his divided inheritance.Written at the age of thirty-three, Dreams from My Father is an unforgettable read. It illuminates not only Obama's journey, but also our universal desire to understand our history, and what makes us the people we are.",,dreams from my father | barack obama,
Spartacus: The Gladiator,Ben Kane,,,,English,2014-01-01T00:00:00Z,,http://books.google.com/books/content?id=b22dI_fta6EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Originally published: Great Britian: Preface Publishing, 2012.",,spartacus: the gladiator | ben kane,
The Trial of Dedan Kimathi,Micere Githae Mugo,,0-435-90191-5,978-0-435-90191-2,English,1977-01-01T00:00:00Z,,,wikidata,,978-0-435-90191-2,the trial of dedan kimathi | micere githae mugo,
Wasiya ya Mabanati,Ustadh Mau,,,,Swahili,1974-01-01T00:00:00Z,,http://books.google.com/books/content?id=Bu77EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The present volume is a pioneering collection of poetry by the outstanding Kenyan poet, intellectual and imam Ustadh Mahmmoud Mau (born 1952) from Lamu island, once an Indian Ocean hub, now on the edge of the nation state. By means of poetry in Arabic script, the poet raises his voice against social ills and injustices troubling his community on Lamu. The book situates Mahmoud Mau’s oeuvre within transoceanic exchanges of thoughts so characteristic of the Swahili coast. It shows how Swahili Indian Ocean intellectual history inhabits an individual biography and writings. Moreover, it also portrays a unique African Muslim thinker and his poetry in the local language, which has so often been neglected as major site for critical discourse in Islamic Africa. The selected poetry is clustered around the following themes: jamii: societal topical issues, ilimu: the importance of education, huruma: social roles and responsabilities, matukio: biographical events and maombi: supplications. Prefaced by Rayya Timamy (Nairobi University), the volume includes contributions by Jasmin Mahazi, Kai Kresse and Kadara Swaleh, Annachiara Raia and Clarissa Vierke. The authors’ approaches highlight the relevance of local epistemologies as archives for understanding the relationship between reform Islam and local communities in contemporary Africa.",,wasiya ya mabanati | ustadh mau,
Speaks,Ngũgĩ wa Thiong'o,"East African Educational Publishers, Kenya",,,English,2006-01-01T00:00:00Z,,http://books.google.com/books/content?id=GadlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,Ngugi's words lead to a deeper understanding of colonial and postcolonial history.,,speaks | ngugi wa thiong o,
Land Without Thunder,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",9966-46-588-X,,English,2001-01-01T00:00:00Z,,http://books.google.com/books/content?id=yABHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,The first collection of short stories from Kenya's foremost woman novelist. Twelve stories bring alive the author's feeling for the macabre and fantastic - reminiscent of the tragedy in The Promised Land.,9966-46-588-X,land without thunder | grace emily akinyi ogot,
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Akashic Books,,,English,2020-02-04T00:00:00Z,,http://books.google.com/books/content?id=gwiZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"In this anthology, fourteen authors explore dark mysteries in the concrete jungle capital of Kenya, dealing with topics of race, religion, and corruption. Akashic Books continues its award-winning series of original noir anthologies, launched in 2004 with Brooklyn Noir. Each book comprises all-new stories, each one set in a distinct neighborhood or location within the respective city. Brand-new stories by: Ngugi wa Thiong’o, Stanley Gazemba, Ngumi Kibera, Peter Kimani, Winfred Kiunga, Kinyanjui Kombani, Caroline Mose, Kevin Mwachiro, Wanjiku wa Ngugi, Faith Oneya, Makena Onjerika, Troy Onyango, J.E. Sibi-Okumu, and Rasna Warah. Praise for Nairobi Noir “Nairobi Noir takes readers into the enigmas that haunt Kenya’s most populous city through the deft storytelling of a stellar cast of writers, which includes Ngugi wa Thiong’o, Stanley Gazemba, Makena Onjerika, Troy Onyango, and others.” —Brittle Paper, One of 50 Notable African Books of 2020 “Nairobi is a city of 3 million souls, so it makes sense as a setting Akashic Books’ famed noir series. 14 new stories fill a collection with Nairobi old and new; authors range in age from 24 to 81, and many layers of the city and its complex subcultures will be revealed as the reader makes their way through. Perfect for the armchair traveler!” —CrimeReads, included in CrimeReads’ Most Anticipated Crime Books of 2020 “Crime fiction fans have much to savor.” —Publishers Weekly",,nairobi noir (akashic noir) | ngugi wa thiong o,
Migritude,Shailja Patel,Kaya Press,,,English,2010-11-30T00:00:00Z,,http://books.google.com/books/content?id=B2DdSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"The U.S. debut of internationally acclaimed poet and performance artist Shailja Patel, Migritude is a tour-de-force hybrid text that confounds categories and conventions. Part poetic memoir, part political history, Migritude weaves together family history, reportage and monologues to create an achingly beautiful portrait of women's lives and migrant journeys undertaken under the boot print of Empire. Patel, who was born in Kenya and educated in England and the U.S., honed her poetic skills in performances of this work that have received standing ovations throughout Europe, Africa and North America. She has been described by the Gulf Times as ""the poetic equivalent of Arundhati Roy"" and by CNN as ""the face of globalization as a people-centered phenomenon of migration and exchange."" Migritude includes interviews with the author, as well as performance notes and essays.",,migritude | shailja patel,
