title,author,themes
Homecoming,Ngũgĩ wa Thiong'o,"['Post-independence struggles', 'Power of language', 'Conflict in families']"
Black Star Nairobi,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Bad governance', 'Greed']"
Dreams from My Father,Barack Obama,"['Dreams and ambitions', 'Youth and unemployment', 'Parent-child relationships']"
Spartacus: The Gladiator,Ben Kane,"['Folklore and oral traditions', 'Naming and symbolism', 'Justice and injustice']"
The Trial of Dedan Kimathi,Micere Githae Mugo,"['Justice and injustice', 'Trauma and healing', 'Oppression']"
Wasiya ya Mabanati,Ustadh Mau,"['Gender roles and feminism', 'Bad governance', 'Urban vs rural life']"
Speaks,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Bad governance', 'Education and opportunity']"
Land Without Thunder,Grace Emily Akinyi Ogot,"['Wealth and materialism', 'Indigenous knowledge', 'Generosity']"
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
Migritude,Shailja Patel,"['Bad governance', 'Hard work', 'Religion and spirituality']"
Wizard of the Crow,Ngũgĩ wa Thiong'o,"['Power of language', 'Folklore and oral traditions', 'Indigenous knowledge']"
Going Down River Road,Meja Mwangi,"['Urbanization', 'Urban vs rural life', 'Bad governance']"
The Dragonfly Sea,Yvonne Adhiambo Owuor,"['Urban vs rural life', 'Oppression', 'Gender roles and feminism']"
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,"['Bad governance', 'Gender roles and feminism', 'Religion and spirituality']"
Q132731040,Barack Obama,"['Identity crisis', 'Community solidarity', 'Civic responsibility']"
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,"['Oppression', 'Justice and injustice', 'Poverty']"
Facing Mount Kenya,Jomo Kenyatta,"['Wealth and materialism', 'Bad governance', 'Generosity']"
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,"['Power of language', 'Wealth and materialism', 'Oppression']"
Betrayal in the City,Francis D. Imbuga,"['Wealth and materialism', 'Bad governance', 'Greed']"
Haki za watoto,Ustadh Mau,"['Wealth and materialism', 'Community solidarity', 'Gender roles and feminism']"
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,"['Folklore and oral traditions', 'Poverty', 'Storytelling as resistance']"
The Cockroach Dance,Meja Mwangi,"['Power of language', 'Conflict in families', 'Indigenous knowledge']"
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,"['Generosity', 'Resource exploitation', 'Land and displacement']"
Petals of Blood,Ngũgĩ wa Thiong'o,"['Naming and symbolism', 'Wealth and materialism', 'Trauma and healing']"
The Climate Book,Wanjira Mathai,"['Climate and nature', 'Environmental conservation', 'Urban vs rural life']"
Without kiinua mgongo,David Maillu,"['Poverty', 'Religion and spirituality', 'Dreams and ambitions']"
Burying Caesar,Meja Mwangi,"['Indigenous knowledge', 'Hope and despair', 'Environmental conservation']"
Writers in Politics,Ngũgĩ wa Thiong'o,"['Poverty', 'Political violence', 'Bad governance']"
Uhuru wa Watumwa,James Mbotela,"['Post-independence struggles', 'Wealth and materialism', 'Migration and diaspora']"
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
Of Thee I Sing,Barack Obama,"['Silence and voice', 'Greed', 'Religion and spirituality']"
Travelling while Black,Nanjala Nyabola,"['Dreams and ambitions', 'Bad governance', 'Marriage and relationships']"
Unbowed,Wangari Muta Maathai,"['Marriage and relationships', 'Poverty', 'Morality and ethics']"
