name,aliases
Abdilatif Abdalla,Abdilatif Abdalla
Ahmad Nassir Juma Bhalo Sayyani,"Ahmad Nassir
Ahmad Nassir Juma
Ahmad Nassir Juma Bhalo
Ahmad Nassir Juma Bhalo Sayyani
Ahmad Nassir bin Juma Bhalo, 1937-
Ustadh Bhalo"
Ahmed Sheikh Nabhany,"Ahmed S. Nabahany
Ahmed Sheikh Nabhany"
Ali Mazrui,"Ali A. Mazrui
Ali Al'amin Mazrui
Ali Mazrui
Mazrui, Ali A."
Allan deSouza,"Allan De Souza
Allan DeSouza
Allan Desouza
Allan de Souza
Allan deSouza"
Anne Matindi,"Anne Matindi
Anne-Rose Waruguru Matindi"
Anne Moraa,Anne Moraa
Anne N. Kubai,"Anne Kubai
Anne N. Kubai
Anne Nkirote Kubai"
Asenath Bole Odaga,Asenath Bole Odaga
Attiya Waris,Attiya Waris
Auma Obama,"Auma Obama
Rita Auma Obama"
Bahadur Tejani,Bahadur Tejani
Ben Kane,Ben Kane
Ben Mutua Jonathan Muriithi,Ben Mutua Jonathan Muriithi
Benjamin A. Onyango,"Benjamin A. Onyango
Benjamin Alfred Onyango Ochieng
Benjamin Onyango"
Binyavanga Wainaina,"Binyavanga Wainaina
Kenneth Binyavanga Wainaina"
Camille Storm,Camille Storm
Carolyne Adalla,Carolyne Adalla
Cathleen Rotich,Cathleen Rotich
Chacha Nyaigotti-Chacha,Chacha Nyaigotti-Chacha
Charity Waciuma,"Charity Waciuma
Charity Wanjiku Waciuma"
Charles Mangua,Charles Mangua
Christopher Kilanga Ruffo,"C. K. Ruffo
Christopher K. Ruffo
Christopher Kilanga Ruffo
Ruffo"
Damaris Seleina Parsitau,"Damaris Parsitau
Damaris Seleina Parsitau"
Daniel Kamau,Daniel Kamau
David Maillu,"David Maillu
David Maulli
Vigad G. Mulila"
David Mulwa,"David Kakuta Mulwa
David Mulwa"
David William Lister Read,David William Lister Read
Deep Roy,"Deep Roy
Gordeep Roy
Gurdeep Roy
Mohinder Purba
Roy Deep"
Edith Ochieng,Edith Ochieng
Elspeth Huxley,"Elspeth Huxley
Elspeth Joscelin Huxley
Elspeth Josceline Grant"
Emily Onyango,"Emily A. Onyango
Emily Awino Onyango
Emily Onyango"
Francis D. Imbuga,Francis D. Imbuga
Gakaara Wanjau,Gakaara Wanjau
Gatua wa Mbugwa,Gatua wa Mbugwa
Grace Emily Akinyi Ogot,"Grace Emily Akinyi Ogot
Grace Emily Ogot
Grace Ogot"
Hazel de Silva Mugot,Hazel de Silva Mugot
Henry Muoria,"Henry Muoria
Mwaniki Muoria"
Henry Ole Kulet,"Henry Ole Kulet
Kulet Henry Ole"
Idza Luhumyo,Idza Luhumyo
Issah Mmari Wangui,"E-Sir
Issah Mmari Wangui"
Jahira Nazari,Jahira Nazari
James Mbotela,"J.J. Mbotela
James Mbotela"
Jane Tapsubei Creider,Jane Tapsubei Creider
Janet mbugua-Ndichu,Janet mbugua-Ndichu
Jared Angira,Jared Angira
John Gatu,John Gatu
John Kituyi,John Kituyi
John Mbiti,"John Mbiti
John Samuel Mbiti"
Josiah Mwangi Kariuki,"J.M. Kariuki
Josiah Mwangi Kariuki"
Juanita Carberry,"Juanita Carberry
Juanita Virginia Sistare Carbery"
Judy Kibinge,Judy Kibinge
Ken Waliaula,"Ken Waliaula
Ken Walibora
Ken Walibora Waliaula
Walibora"
Kevin Mwachiro,Kevin Mwachiro
Khadija Abdalla Bajaber,Khadija Abdalla Bajaber
Kinyanjui Kombani,Kinyanjui Kombani
Kithaka Wa Mberia,Kithaka Wa Mberia
Koigi wa Wamwere,Koigi wa Wamwere
Late Maalim Hussein Soud,Late Maalim Hussein Soud
Lily Mabura,"L. G. N. Mabura
L. Mabura
Lily G. N. Mabura
Lily Mabura"
Lucy Natasha,"Lucy Natasha
Rev. Lucy Natasha"
MGN Kahende,MGN Kahende
Magaga Alot,Magaga Alot
Makena Onjerika,Makena Onjerika
Marjorie Oludhe Macgoye,"Marjorie Oludhe Macgoye
Marjorie Phyllis King
Marjorie Phyllis Oludhe Macgoye"
Marjorie Wallace,"Marjorie Shiona Douglas Wallace
Marjorie Shiona Wallace
Marjorie Wallace"
Martin Kimani,"Martin Kimani
Mbugua Martin Kimani"
Maurice Amutabi,"Maurice Amutabi
Maurice Amutabi PhD. Maurice Nyamanga Amutabi
Maurice N.Amutabi
Prof.Maurice Amutabi
Professor Maurice Amutabi"
Mbithi Masya,Mbithi Masya
Meja Mwangi,"David Dominic Mwangi
Meja Mwangi"
Micere Githae Mugo,"Madeleine Micere Githae
Micere Githae Mugo
Mĩcere Gĩthae Mũgo"
Miriam Were,"Miriam K. Were
Miriam Khamadi Were
Miriam Were"
Monica Genya,Monica Genya
Moraa Gitaa,Moraa Gitaa
Mordecai Ogada,"Dr. Mordecai Ogada
M. Ogada
Mordecai Ogada"
Mumbi Kaigwa,Mumbi Kaigwa
Mumbi Macharia,"Lisa Mumbi Macharia
Mumbi Macharia"
Muthoni Likimani,"Muthoni Gachanja Likimani
Muthoni Likimani"
Muyaka bin Haji al-Ghassaniy,"Muyaka bin Haji al Ghassaniy
Muyaka bin Haji al-Ghassaniy
Muyaka bin Haji of Mombasa
Muyaka bin Mwinyi Haji"
Mwana Kupona,"Mwana Kupona
Mwanakupona Binti Msham
Utenzi wa Mwana Kupona"
Mwania Paul/ Paul Mwania Ph.D./ prof Paul Mwania,Mwania Paul/ Paul Mwania Ph.D./ prof Paul Mwania
Mwenye Hadithi,"Bruce Hobson
Mwenye Hadithi"
Mũkoma wa Ngũgĩ,Mũkoma wa Ngũgĩ
Nanjala Nyabola,"H. Nanjala Nyabola
Nanjala Nyabola"
Nduta Waweru,Nduta Waweru
Ndũcũ wa Ngũgĩ,Ndũcũ wa Ngũgĩ
Ngwatilo Mawiyoo,Ngwatilo Mawiyoo
Ngũgĩ wa Mirii,Ngũgĩ wa Mirii
Ngũgĩ wa Thiong'o,Ngũgĩ wa Thiong'o
Njeri Kabeberi,Njeri Kabeberi
Okwiri Oduor,Okwiri Oduor
Olga Marlin,"Olga E. Marlin
Olga Marlin"
Olubayi Olubayi,Olubayi Olubayi
P. M. Kareithi,"Munuhe Kareithi
P. M. Kareithi
Peter Kareithi
Peter M. Kareithi
Peter Munuhe Kareithi"
Peter Kagwanja,Peter Kagwanja
Peter Ngila Njeri,Peter Ngila Njeri
Philip Ndegwa,Philip Ndegwa
Philippa Ndisi-Herrmann,Philippa Ndisi-Herrmann
Philo Ikonya,Philo Ikonya
Philomena Njeri Mwaura,"Philomena Mwaura
Philomena Njeri Mwaura"
Phoebe Ruguru,Phoebe Ruguru
Q135114856,Q135114856
Rasna Warah,Rasna Warah
Rebecca Nandwa,Rebecca Nandwa
Rebeka Njau,"Marina Gashe
Rebecca Njau
Rebeka Njau"
Rocha Chimera,Rocha Chimera
Samir Bhamra,Samir Bhamra
Samuel Kahiga,Samuel Kahiga
Shailja Patel,Shailja Patel
Taaitta Toweett,Taaitta Toweett
Thomas Akare,Thomas Akare
Tony Mochama,"Tony Adam Mochama
Tony Mochama"
Troy Onyango,"Onyango Troy
Troy Onyango"
Ustadh Mau,"Mahmoud Ahmed Abdulkadir
Mahmoud Mau
Ustadh Mahmoud Mau
Ustadh Mau"
Wahome Mutahi,Wahome Mutahi
Wangui wa Goro,Wangui wa Goro
Wanjiku Kabira,Wanjiku Kabira
William Robert Ochieng’,"William Robert Ochieng
William Robert Ochieng’"
Yvonne Adhiambo Owuor,Yvonne Adhiambo Owuor
Zam Zam Abdullahi Abdi,Zam Zam Abdullahi Abdi
