title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i,title_norm,author_norm,year,_year_bucket,_text,item_id,themes
Homecoming,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2023-10-01,,,wikidata,,,homecoming | ngugi wa thiong o,,homecoming,ngugi wa thiong o,2023.0,2020+,"Homecoming 
Ngũgĩ wa Thiong'o 
Amazon Kindle",0,"['Post-independence struggles', 'Power of language', 'Conflict in families']"
Black Star Nairobi,Mũkoma wa Ngũgĩ,,,,English,2013-01-01,,,wikidata,,,black star nairobi | mukoma wa ngugi,,black star nairobi,mukoma wa ngugi,2013.0,05-14,"Black Star Nairobi 
Mũkoma wa Ngũgĩ 
",1,"['Wealth and materialism', 'Bad governance', 'Greed']"
Dreams from My Father,Barack Obama,,,,English,1995-07-18,OL3246385W,,wikidata,,,dreams from my father | barack obama,,dreams from my father,barack obama,1995.0,80-94,"Dreams from My Father 
Barack Obama 
",2,"['Dreams and ambitions', 'Youth and unemployment', 'Parent-child relationships']"
Spartacus: The Gladiator,Ben Kane,,,,English,2014-01-01,,,wikidata,,,spartacus: the gladiator | ben kane,,spartacus the gladiator,ben kane,2014.0,05-14,"Spartacus: The Gladiator 
Ben Kane 
",3,"['Folklore and oral traditions', 'Naming and symbolism', 'Justice and injustice']"
The Trial of Dedan Kimathi,Micere Githae Mugo,,0-435-90191-5,978-0-435-90191-2,English,1977-01-01,,,wikidata,,978-0-435-90191-2,the trial of dedan kimathi | micere githae mugo,,the trial of dedan kimathi,micere githae mugo,1977.0,60-79,"The Trial of Dedan Kimathi 
Micere Githae Mugo 
",4,"['Justice and injustice', 'Trauma and healing', 'Oppression']"
Wasiya ya Mabanati,Ustadh Mau,,,,Swahili,1974-01-01,,,wikidata,,,wasiya ya mabanati | ustadh mau,,wasiya ya mabanati,ustadh mau,1974.0,60-79,"Wasiya ya Mabanati 
Ustadh Mau 
",5,"['Gender roles and feminism', 'Bad governance', 'Urban vs rural life']"
Speaks,Ngũgĩ wa Thiong'o,"East African Educational Publishers, Kenya",,,English,2006-01-01,,,wikidata,,,speaks | ngugi wa thiong o,,speaks,ngugi wa thiong o,2006.0,05-14,"Speaks 
Ngũgĩ wa Thiong'o 
East African Educational Publishers, Kenya",6,"['Wealth and materialism', 'Bad governance', 'Education and opportunity']"
Land Without Thunder,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",9966-46-588-X,,English,2001-01-01,,,wikidata,,9966-46-588-X,land without thunder | grace emily akinyi ogot,,land without thunder,grace emily akinyi ogot,2001.0,95-04,"Land Without Thunder 
Grace Emily Akinyi Ogot 
East African Educational Publishers, Kenya",7,"['Wealth and materialism', 'Indigenous knowledge', 'Generosity']"
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Akashic Books,,,English,2020-02-04,,,wikidata,,,nairobi noir (akashic noir) | ngugi wa thiong o,,nairobi noir akashic noir,ngugi wa thiong o,2020.0,15-19,"Nairobi Noir (Akashic Noir) 
Ngũgĩ wa Thiong'o 
Akashic Books",8,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
Migritude,Shailja Patel,Kaya Press,,,English,2010-11-30,,,wikidata,,,migritude | shailja patel,,migritude,shailja patel,2010.0,05-14,"Migritude 
Shailja Patel 
Kaya Press",9,"['Bad governance', 'Hard work', 'Religion and spirituality']"
